run_id,scene_index,timestamp_range,verse_type,verse_text,provider,model,quality_score,exposed,user_feedback,failure_tags,passed_visual_review,reason,notes
run_001,0,,LITERAL,neon streets midnight,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Neon street composition is coherent and cinematic; subject and environment remain readable,strong urban baseline
run_001,1,,LITERAL,rain on broken glass,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,"Rain, reflections, and broken-glass street texture read clearly without visual collapse",environment detail baseline
run_001,2,,LITERAL,woman red dress streetlight,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Single-subject framing holds up and the red-dress cue remains visually legible,portrait baseline
run_001,3,,NARRATIVE,two friends rooftop,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Two-person composition held up; expressions and faces remained coherent,multi_person baseline
run_001,4,,NARRATIVE,crowd at concert gates,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Crowd scene remained coherent without obvious background-face collapse,crowd baseline
run_001,5,,LITERAL,hands reaching sky,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Hands were usable and the frame avoided severe finger deformation,hands baseline
run_001,6,,LITERAL,man alone dark room phone,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Phone-lit solitude scene is stable and semantically correct with no visible artifacts,indoor solo baseline
run_001,7,,NARRATIVE,fireworks over river,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Fireworks and skyline composition are clean and match the scene intent,environment spectacle baseline
run_002,0,,NARRATIVE,soldier alone desert,gemini,gemini-3-pro-image-preview,0.82,true,,"prompt_conflicting_intent,environment_incoherence",no,Usable soldier image but weak film-noir adherence; reads as generic war portrait,style drift
run_002,1,,NARRATIVE,boots cracked by sun,gemini,gemini-3-pro-image-preview,0.82,true,,"prompt_conflicting_intent,quality_gate_missed_bad_output",no,"Scene should focus on boots, but human portrait contamination dominated the frame",boots unresolved in P2
run_002,2,,NARRATIVE,children marketplace,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Children anatomy and motion were credible,good multi-person action
run_002,3,,NARRATIVE,old man reads scrolls,gemini,gemini-3-pro-image-preview,0.82,true,,prompt_conflicting_intent,no,Scene was usable but not visually aligned with film noir,style drift
run_002,4,,NARRATIVE,explosions horizon dusk,gemini,gemini-3-pro-image-preview,0.82,true,,"prompt_conflicting_intent,quality_gate_missed_bad_output",no,Foreground human hijacked an effects/environment scene,major mismatch
run_002,5,,NARRATIVE,couple dances garden,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Two-person composition and hand placement were acceptable,couple baseline
run_002,6,,NARRATIVE,rain Tokyo intersection,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Busy crowd and rain held together well,crowd + environment
run_002,7,,NARRATIVE,lone wolf howls cliff,gemini,gemini-3-pro-image-preview,0.82,true,,"prompt_conflicting_intent,quality_gate_missed_bad_output",no,Generated a human-like subject instead of a wolf,animal mismatch
run_003,0,,NARRATIVE,boots military,gemini,gemini-3-pro-image-preview,0.82,true,,prompt_conflicting_intent,no,Boots improved slightly but a human still dominated the image,targeted rerun partial miss
run_003,1,,NARRATIVE,explosions horizon,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Now reads as environment/effects scene with no foreground human,fixed in P3
run_003,2,,NARRATIVE,wolf jagged cliff,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Wolf subject is correct and clearly non-human,fixed in P3
run_003,3,,NARRATIVE,crowd neon signs graffiti,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Crowd and signage both read well; text was surprisingly legible,text + crowd pass
run_003,4,,LITERAL,hands reaching sky,gemini,gemini-3-pro-image-preview,0.70,true,,quality_gate_missed_bad_output,yes,"Visual result was usable, but the score was incorrectly penalized",false positive score
run_004,0,,NARRATIVE,boots wet asphalt,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Frame is knee-down and boots clearly dominate the image,human_detail fix worked
run_004,1,,LITERAL,hands reaching sky,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Hands are primary subject and score calibration is now correct,hands fix worked
run_004,2,,NARRATIVE,explosions horizon,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,No human foreground; effects/environment dominance preserved,effect_scene stable
run_004,3,,NARRATIVE,wolf blood-red moon,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Wolf remains the correct primary subject,animal_subject stable
run_005,0,,INTROSPECTIVE,couple close-up tears,gemini,gemini-3-pro-image-preview,0.82,true,,"prompt_under_specified,quality_gate_missed_bad_output",no,Image was anatomically fine but framing was too wide and tears were not sufficiently readable,emotional close-up gap
run_005,1,,NARRATIVE,children running muddy,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Children anatomy and movement read naturally,stress test pass
run_005,2,,NARRATIVE,protest signs FREEDOM,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Sign text is readable and crowd remains coherent,text_render success
run_005,3,,LITERAL,laughing group karaoke,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,"Mouths, teeth, and microphones remain usable with no obvious fusion artifacts",mouth stress pass
run_005,4,,NARRATIVE,stadium thousands faces,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Foreground faces remain coherent and distant crowd does not show obvious cloning,stadium crowd pass
run_006,0,,INTROSPECTIVE,couple embrace tears close-up,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,"Tight close-up, both faces visible, tears readable, no facial fusion",targeted fix closed the case
run_007,0,,NARRATIVE,protest march fists raised,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Crowd composition and raised fists remained coherent; protest signs stayed readable enough.,crowd-heavy pass
run_007,1,,LITERAL,fans stadium gates scarves,gemini,gemini-3-pro-image-preview,0.82,true,,,yes,Stadium crowd held up without obvious repeated faces or collapse at the gates.,crowd-heavy pass
