run_id,project_id,date,song_title,style,source_mode,total_scenes,real_scenes,fallback_scenes,degraded_scenes,overall_status,total_likes,total_dislikes,degraded_rate,fallback_rate,primary_provider,secondary_provider,top_failure_1,top_failure_2,top_failure_3,decision,notes
run_001,332bea54-5d72-4161-8caf-2e69aae4e933,2026-03-06,City Lights,cinematic,audit,8,8,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,
run_002,4ae4c2ad-f191-4772-950e-16891a286f23,2026-03-06,Desert Storm,film noir,audit,8,8,0,5,degraded,0,0,0.63,0.00,gemini,,,,,not_publishable,"Boots, explosions, wolf, and overall noir adherence failed visual review"
run_003,f8ad2090-95a7-4672-97f5-050ee5b2aadf,2026-03-06,Targeted Scenes,film noir,audit,5,5,0,1,degraded,0,0,0.20,0.00,gemini,,prompt_portrait_contamination,,,usable_minor_edits,Explosions and wolf fixed; boots still failed; hands passed visually but score had false positive
run_004,4d0503d3-6e7f-4027-bb6d-e05eb508e41d,2026-03-06,human_detail Validation,film noir,audit,4,4,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,hands Q rose 0.70→0.82 after `human_detail` fix. No regressions.
run_005,0a6c75d6-82ac-4bee-b87a-2077feb33c10,2026-03-06,Stress Test Hard Scenes,film noir,audit,5,5,0,1,degraded,0,0,0.20,0.00,gemini,,,,,usable_minor_edits,Only emotional couple close-up failed visual review; 4/5 passed
run_006,d1373502-12e1-44e8-bc93-71bc87a80261,2026-03-06,Couple Close-Up Retest,film noir,audit,1,1,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,
run_007,cac57697-f454-41f2-a98d-e38451c8b970,2026-03-06,Cinematic Crowd-Heavy,cinematic,audit,5,5,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,"5/5 scenes passed visual review. Crowd-heavy cinematic batch remained coherent across protest, stadium, wedding, fire, and graduation scenes."
run_008,6052ed84-95a5-453b-9254-eeafb9814cf0,2026-03-06,Cyberpunk Mixed,cyberpunk,audit,5,5,0,1,degraded,0,0,0.20,0.00,gemini,,routing_missed_trait,,,usable_as_is,5/5 scenes passed visual review. Scene 3 was a routing_missed_trait false positive; visuals were still publishable.
run_009,fda43b0d-2293-43b5-bf0a-9f7e718075b3,2026-03-06,Fantasy Creatures + Magic,fantasy,audit,5,5,0,2,degraded,0,0,0.40,0.00,gemini,,routing_missed_trait,,,usable_as_is,"5/5 scenes passed visual review. Dragon and wizard scenes were scoring false positives from missing keywords, not visual failures."
run_010,1e84c8fb-6b7a-4905-b620-f643554e047f,2026-03-06,Cinematic Close-Up Emotional,cinematic,audit,5,5,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,"5/5 close-up emotional scenes passed visual review. Tear detail, bruising, newborn anatomy, firelight letter scene, and aquarium close-up all held up."
run_011,405b8127-7f0e-418d-865d-0b542ccfe157,2026-03-06,Keyword-Fix Directed Validation,cinematic,audit,4,4,0,0,success,0,0,0.00,0.00,gemini,,,,,usable_as_is,"4/4 targeted keyword-fix scenes passed visual review. Hunters, dragon, wizard, and hands control all validated the routing keyword patch."
